,,,,
RCP85__EMISSIONS____________________________,,,,
COLUMN_DESCRIPTION________________________________________,,,,
"1. FossilCO2        - Fossil & Industrial CO2 (Fossil, Cement, Gas Flaring & Bunker Fuels)",,,,
COLUMN:,RCP85,RCP60,RCP45,RCP26
UNITS:,GtC/yr,GtC/yr,GtC/yr,GtC/yr
v YEARS/GAS >,FossilCO2,FossilCO2,FossilCO2,FossilCO2
2173,22.534717,2.49632,1.3506,-0.9308
2174,22.264922,2.46596,1.3403,-0.9308
2175,21.995128,2.4356,1.33,-0.9308
2176,21.725333,2.40884,1.3197,-0.9308
2177,21.455538,2.38208,1.3094,-0.9308
2178,21.185743,2.35532,1.2991,-0.9308
2179,20.915948,2.32856,1.2888,-0.9308
2180,20.646153,2.3018,1.2785,-0.9308
2181,20.376358,2.27802,1.26966,-0.9308
2182,20.106563,2.25424,1.26082,-0.9308
2183,19.836768,2.23046,1.25198,-0.9308
2184,19.566973,2.20668,1.24314,-0.9308
2185,19.297179,2.1829,1.2343,-0.9308
2186,19.027384,2.1617,1.22546,-0.9308
2187,18.757589,2.1405,1.21662,-0.9308
2188,18.487794,2.1193,1.20778,-0.9308
2189,18.217999,2.0981,1.19894,-0.9308
2190,17.948204,2.0769,1.1901,-0.9308
2191,17.678409,2.05792,1.18257,-0.9308
2192,17.408614,2.03894,1.17504,-0.9308
2193,17.138819,2.01996,1.16751,-0.9308
2194,16.869024,2.00098,1.15998,-0.9308
2195,16.59923,1.982,1.15245,-0.9308
2196,16.329435,1.96498,1.14492,-0.9308
2197,16.05964,1.94796,1.13739,-0.9308
2198,15.789845,1.93094,1.12986,-0.9308
2199,15.52005,1.91392,1.12233,-0.9308
2200,15.250255,1.8969,1.1148,-0.9308
2201,14.98046,1.88235,1.10836,-0.9308
2202,14.710665,1.8678,1.10192,-0.9308
2203,14.44087,1.85325,1.09548,-0.9308
2204,14.171076,1.8387,1.08904,-0.9308
2205,13.901281,1.82415,1.0826,-0.9308
2206,13.631486,1.8096,1.07616,-0.9308
2207,13.361691,1.79505,1.06972,-0.9308
2208,13.091896,1.7805,1.06328,-0.9308
2209,12.822101,1.76595,1.05684,-0.9308
2210,12.552306,1.7514,1.0504,-0.9308
2211,12.282511,1.73953,1.04486,-0.9308
2212,12.012716,1.72766,1.03932,-0.9308
2213,11.742921,1.71579,1.03378,-0.9308
2214,11.473127,1.70392,1.02824,-0.9308
2215,11.203332,1.69205,1.0227,-0.9308
2216,10.933537,1.68018,1.01716,-0.9308
2217,10.663742,1.66831,1.01162,-0.9308
2218,10.393947,1.65644,1.00608,-0.9308
2219,10.124152,1.64457,1.00054,-0.9308
2220,9.8543571,1.6327,0.995,-0.9308
2221,9.5845622,1.62294,0.99023,-0.9308
2222,9.3147673,1.61318,0.98546,-0.9308
2223,9.0449724,1.60342,0.98069,-0.9308
2224,8.7751776,1.59366,0.97592,-0.9308
2225,8.5053827,1.5839,0.97115,-0.9308
2226,8.2355878,1.57414,0.96638,-0.9308
2227,7.9657929,1.56438,0.96161,-0.9308
2228,7.695998,1.55462,0.95684,-0.9308
2229,7.4262031,1.54486,0.95207,-0.9308
2230,7.1564082,1.5351,0.9473,-0.9308
2231,6.8866133,1.52697,0.94314,-0.9308
2232,6.6168184,1.51884,0.93898,-0.9308
2233,6.3470235,1.51071,0.93482,-0.9308
2234,6.0772286,1.50258,0.93066,-0.9308
2235,5.8074337,1.49445,0.9265,-0.9308
2236,5.5376388,1.48632,0.92234,-0.9308
2237,5.2678439,1.47819,0.91818,-0.9308
2238,4.998049,1.47006,0.91402,-0.9308
2239,4.7282541,1.46193,0.90986,-0.9308
2240,4.4584592,1.4538,0.9057,-0.9308
2241,4.1886643,1.44702,0.90206,-0.9308
2242,3.9188694,1.44024,0.89842,-0.9308
2243,3.6490745,1.43346,0.89478,-0.9308
2244,3.3792796,1.42668,0.89114,-0.9308
2245,3.1094847,1.4199,0.8875,-0.9308
2246,2.8396898,1.41312,0.88386,-0.9308
2247,2.5698949,1.40634,0.88022,-0.9308
2248,2.3001,1.39956,0.87658,-0.9308
2249,2.088,1.39278,0.87294,-0.9308
2250,2.0458,1.386,0.8693,-0.9308
2251,2.05004,1.380872,0.8661,-0.9308
2252,2.05428,1.375744,0.8629,-0.9308
2253,2.05852,1.370616,0.8597,-0.9308
2254,2.06276,1.365488,0.8565,-0.9308
2255,2.067,1.36036,0.8533,-0.9308
2256,2.07852,1.355232,0.8501,-0.9308
2257,2.09004,1.350104,0.8469,-0.9308
2258,2.10156,1.344976,0.8437,-0.9308
2259,2.11308,1.339848,0.8405,-0.9308
2260,2.1246,1.33472,0.8373,-0.9308
2261,2.1217267,1.329592,0.83445,-0.9308
2262,2.1188533,1.324464,0.8316,-0.9308
2263,2.11598,1.319336,0.82875,-0.9308
2264,2.1131067,1.314208,0.8259,-0.9308
2265,2.1102333,1.30908,0.82305,-0.9308
2266,2.10736,1.303952,0.8202,-0.9308
2267,2.1044867,1.298824,0.81735,-0.9308
2268,2.1016133,1.293696,0.8145,-0.9308
2269,2.09874,1.288568,0.81165,-0.9308
2270,2.0958667,1.28344,0.8088,-0.9308
2271,2.0929933,1.278312,0.80629,-0.9308
2272,2.09012,1.273184,0.80378,-0.9308
2273,2.0872467,1.268056,0.80127,-0.9308
2274,2.0843733,1.262928,0.79876,-0.9308
2275,2.0815,1.2578,0.79625,-0.9308
2276,2.078004,1.254232,0.79374,-0.9308
2277,2.074508,1.250664,0.79123,-0.9308
2278,2.071012,1.247096,0.78872,-0.9308
2279,2.067516,1.243528,0.78621,-0.9308
2280,2.06402,1.23996,0.7837,-0.9308
2281,2.060524,1.236392,0.78142,-0.9308
2282,2.057028,1.232824,0.77914,-0.9308
2283,2.053532,1.229256,0.77686,-0.9308
2284,2.050036,1.225688,0.77458,-0.9308
2285,2.04654,1.22212,0.7723,-0.9308
2286,2.043044,1.218552,0.77002,-0.9308
2287,2.039548,1.214984,0.76774,-0.9308
2288,2.036052,1.211416,0.76546,-0.9308
2289,2.032556,1.207848,0.76318,-0.9308
2290,2.02906,1.20428,0.7609,-0.9308
2291,2.025564,1.200712,0.75884,-0.9308
2292,2.022068,1.197144,0.75678,-0.9308
2293,2.018572,1.193576,0.75472,-0.9308
2294,2.015076,1.190008,0.75266,-0.9308
2295,2.01158,1.18644,0.7506,-0.9308
2296,2.008084,1.182872,0.74854,-0.9308
2297,2.004588,1.179304,0.74648,-0.9308
2298,2.001092,1.175736,0.74442,-0.9308
2299,1.997596,1.172168,0.74236,-0.9308
2300,1.9941,1.1686,0.7403,-0.9308
2301,1.991988,1.165964,0.738714,-0.9308
2302,1.989876,1.163328,0.737128,-0.9308
2303,1.987764,1.160692,0.735542,-0.9308
2304,1.985652,1.158056,0.733956,-0.9308
2305,1.98354,1.15542,0.73237,-0.9308
2306,1.981428,1.152784,0.730784,-0.9308
2307,1.979316,1.150148,0.729198,-0.9308
2308,1.977204,1.147512,0.727612,-0.9308
2309,1.975092,1.144876,0.726026,-0.9308
2310,1.97298,1.14224,0.72444,-0.9308
2311,1.970868,1.139604,0.722854,-0.9308
2312,1.968756,1.136968,0.721268,-0.9308
2313,1.966644,1.134332,0.719682,-0.9308
2314,1.964532,1.131696,0.718096,-0.9308
2315,1.96242,1.12906,0.71651,-0.9308
2316,1.960308,1.126424,0.714924,-0.9308
2317,1.958196,1.123788,0.713338,-0.9308
2318,1.956084,1.121152,0.711752,-0.9308
2319,1.953972,1.118516,0.710166,-0.9308
